referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl,secondaryImageUrl1,secondaryImageUrl2,secondaryImageUrl3,pdfBrochureUrl
1514-P-1072,KEELER,led-fibre-optic-otoscope-1514-p-1072,ophthalmology-surgical,active,,LED Fibre Optic Otoscope,LED Fibre Optic Otoscope,"New for 2024: a brighter, clearer view with LED illuminationThe Keeler LED Fibre Optic Otoscope is a premium product used by ENT professionals and specialists. New LED Fibre Optic Otoscope (available as a full device or a head upgrade) transmits light via optic fibres for homogeneous illumination leading to clear and accurate aural diagnosis.Features:Fibre Optic Otoscope head with LED illumination module (Keeler’s brightest light with longer lasting battery vs traditional Halogen Bulb)Large head","New for 2024: a brighter, clearer view with LED illuminationThe Keeler LED Fibre Optic Otoscope is a premium product used by ENT professionals and specialists. New LED Fibre Optic Otoscope (available as a full device or a head upgrade) transmits light via optic fibres for homogeneous illumination leading to clear and accurate aural diagnosis.Features:Fibre Optic Otoscope head with LED illumination module (Keeler’s brightest light with longer lasting battery vs traditional Halogen Bulb)Large head","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user",https://www.keelerglobal.com/wp-content/uploads/2024/08/ledfibreopticotoscope-1.png,https://www.keelerglobal.com/wp-content/uploads/2024/08/ledfibreopticotoscope-1.png,,,
1127-P-1008,KEELER,all-pupil-2-led-upgrade-1127-p-1008,ophthalmology-surgical,active,,All Pupil 2 LED upgrade,All Pupil 2 LED upgrade,"Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp,,,
1205-P-1015,KEELER,volk-2-2x-pan-retinal-lens-vprc-1205-p-1015,ophthalmology-surgical,active,,Volk 2.2x Pan Retinal lens – VPRC,Volk 2.2x Pan Retinal lens – VPRC,"Ideal for all examination procedures, including small pupil examinationsThe Pan Retinal 2.2 uniquely combines magnification nearly that of the 20D lens with a field of view approaching that of the 30D lens.h2>Features:66/73 degree field of view..37x laser spot.2.68x image mag.40mm working distance. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Ideal for all examination procedures, including small pupil examinationsThe Pan Retinal 2.2 uniquely combines magnification nearly that of the 20D lens with a field of view approaching that of the 30D lens.h2>Features:66/73 degree field of view..37x laser spot.2.68x image mag.40mm working distance. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",Field of View: 66/73 degree field of view.; Laser Spot: .37x laser spot.; Image Magnification: 2.68x image mag.; Working Distance: 40mm working distance.,Field of View: 66/73 degree field of view.; Laser Spot: .37x laser spot.; Image Magnification: 2.68x image mag.; Working Distance: 40mm working distance.,https://www.keelerglobal.com/wp-content/uploads/2024/02/2105-P-1017-7-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/2105-P-1017-7-jpg.webp,,,
1302-P-1011,KEELER,pocket-ophthalmoscope-1302-p-1011,ophthalmology-surgical,active,,Pocket Ophthalmoscope,Pocket Ophthalmoscope,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,"Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.","Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.",https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp,,,
1302-P-1013,KEELER,pocket-ophthalmoscope-1302-p-1013,ophthalmology-surgical,active,,Pocket Ophthalmoscope,Pocket Ophthalmoscope,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,Portable and compact pocket ophthalmoscope for ward and GP useFull diagnostic capacity in a compact instrument make the Pocket ophthalmoscope ideal for the Practitioner on the move. An ideal choice for domiciliary and ward use or as a backup instrument.Features:Slimline design fits neatly in your pocket.Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.Strong metal clip that can be attached to a pocket.Five diagnostic beams for full diagnostic capabili,"Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.","Lens powers range: Lens powers range from +20D to -20D for clear and effortless examination of ocular structures.; Macular for a: Macular for a detailed examination of the central retina, reducing excessive pupillary reaction and patient discomfort; Intermediate – Permits: Intermediate – Permits easier access through and undilated pupil and in peripheral examination. Particularly useful in paediatric examination.; Red Free –: Red Free – The red free filter is used to examine blood vessels in fine detail. By filtering out the red light, blood vessels are silhouetted against a dark green background.; Fixation Cross –: Fixation Cross – Projects a graticule onto the retina for assessment of the degree and direction of eccentric fixation.",https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/1102-P-1041-8-jpg.webp,,,
1015-P-7058,KEELER,all-pupil-2-led-upgrade-1015-p-7058,ophthalmology-surgical,active,,All Pupil 2 LED upgrade,All Pupil 2 LED upgrade,"Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp,,,
1015-P-7031,KEELER,binocular-indirect-face-shield-1015-p-7031,ophthalmology-surgical,active,,Binocular indirect face shield,Binocular indirect face shield,Keep users and patients safe when using indirects.This binocular indirect shield provides a barrier between the patient and user to reduce the potential transmission of harmful viruses.Features:Designed to fit Keeler All Pupil and Vantage Plus BIOs.Scratch and defect free shield held in place by the buttons on the headband foam liner.Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate. Helping our customers bring an end ,Keep users and patients safe when using indirects.This binocular indirect shield provides a barrier between the patient and user to reduce the potential transmission of harmful viruses.Features:Designed to fit Keeler All Pupil and Vantage Plus BIOs.Scratch and defect free shield held in place by the buttons on the headband foam liner.Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate. Helping our customers bring an end ,Shield measures 275mm: Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).; Robust shield made: Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,Shield measures 275mm: Shield measures 275mm W x 190mm H (10.8″ W x 7.5″ H).; Robust shield made: Robust shield made out of 0.5-0.8mm thick clear polyethylene terephthalate.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,https://www.keelerglobal.com/wp-content/uploads/2024/02/1205-P-7034-8-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/1205-P-7034-8-jpg.webp,,,
1205-P-1019,KEELER,volk-2-2x-pan-retinal-lens-vprc-1205-p-1019,ophthalmology-surgical,active,,Volk 2.2x Pan Retinal lens – VPRC,Volk 2.2x Pan Retinal lens – VPRC,"Ideal for all examination procedures, including small pupil examinationsThe Pan Retinal 2.2 uniquely combines magnification nearly that of the 20D lens with a field of view approaching that of the 30D lens.h2>Features:66/73 degree field of view..37x laser spot.2.68x image mag.40mm working distance. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Ideal for all examination procedures, including small pupil examinationsThe Pan Retinal 2.2 uniquely combines magnification nearly that of the 20D lens with a field of view approaching that of the 30D lens.h2>Features:66/73 degree field of view..37x laser spot.2.68x image mag.40mm working distance. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",Field of View: 66/73 degree field of view.; Laser Spot: .37x laser spot.; Image Magnification: 2.68x image mag.; Working Distance: 40mm working distance.,Field of View: 66/73 degree field of view.; Laser Spot: .37x laser spot.; Image Magnification: 2.68x image mag.; Working Distance: 40mm working distance.,https://www.keelerglobal.com/wp-content/uploads/2024/02/2105-P-1017-7-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/2105-P-1017-7-jpg.webp,,,
1516-P-1033,KEELER,led-practitioner-otoscope-1516-p-1033,ophthalmology-surgical,active,,LED Practitioner Otoscope,LED Practitioner Otoscope,"The industry leader for hospital and Gen Med use, now with LED illuminationThe Keeler LED Practitioner Otoscope is the popular choice for hospitals and Gen Med customers. The new LED Practitioner Otoscope (available as a full device or a head upgrade) offers a brighter and longer lasting battery vs. Keeler’s renowned halogen bulb.Features:Unobstructed open style head for easy introduction of small instruments for wax or foreign body removalLarge slide aside 2.5x lens for clear view of aural stru","The industry leader for hospital and Gen Med use, now with LED illuminationThe Keeler LED Practitioner Otoscope is the popular choice for hospitals and Gen Med customers. The new LED Practitioner Otoscope (available as a full device or a head upgrade) offers a brighter and longer lasting battery vs. Keeler’s renowned halogen bulb.Features:Unobstructed open style head for easy introduction of small instruments for wax or foreign body removalLarge slide aside 2.5x lens for clear view of aural stru","Unobstructed open style: Unobstructed open style head for easy introduction of small instruments for wax or foreign body removal; Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user","Unobstructed open style: Unobstructed open style head for easy introduction of small instruments for wax or foreign body removal; Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user",https://www.keelerglobal.com/wp-content/uploads/2024/08/ledpractitionerotoscope.png,https://www.keelerglobal.com/wp-content/uploads/2024/08/ledpractitionerotoscope.png,,,
1205-P-2002,KEELER,volk-digital-1-0x-imaging-lens-vdgtl1-1205-p-2002,ophthalmology-surgical,active,,Volk Digital 1.0x imaging lens – VDGTL1,Volk Digital 1.0x imaging lens – VDGTL1,"Ideal for Slit Lamp photography.The Digital 1.0x Imaging Lens is optimised for the visible spectrum and was designed to reduce glare and reflections during general diagnosis and slit lamp imaging.NB: For best results during Slit Lamp photography, it is recommended that you use this lens with the Volk Steady Mount.h2>Features:Provides a high-resolution view of the posterior pole and a sharper image across the diameter of the lens.60/72 degree field of view.1.0x laser spot.1.0x image mag.12mm work","Ideal for Slit Lamp photography.The Digital 1.0x Imaging Lens is optimised for the visible spectrum and was designed to reduce glare and reflections during general diagnosis and slit lamp imaging.NB: For best results during Slit Lamp photography, it is recommended that you use this lens with the Volk Steady Mount.h2>Features:Provides a high-resolution view of the posterior pole and a sharper image across the diameter of the lens.60/72 degree field of view.1.0x laser spot.1.0x image mag.12mm work",Image Magnification: Volk Digital 1.0x Imaging lens; Field of View: 60/72 degree field of view.; Laser Spot: 1.0x laser spot.; Working Distance: 12mm working distance.; Volk Super Pupil: Volk Super Pupil lens - VSPXL2105-L-1517,Image Magnification: Volk Digital 1.0x Imaging lens; Field of View: 60/72 degree field of view.; Laser Spot: 1.0x laser spot.; Working Distance: 12mm working distance.; Volk Super Pupil: Volk Super Pupil lens - VSPXL2105-L-1517,https://www.keelerglobal.com/wp-content/uploads/2024/02/2105-P-2060-7-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/2105-P-2060-7-jpg.webp,,,
1599-P-7229,KEELER,montura-deportiva-keeler-est-ndar-copy-1599-p-7229,ophthalmology-surgical,active,,Montura deportiva Keeler (estándar) (Copy),Montura deportiva Keeler (estándar) (Copy),Monturas de lupa modernas y cómodas en distintos coloresLa extraordinaria montura deportiva Keeler está disponible en varios colores brillantes y se adapta a todas las graduaciones. Todas las lupas quirúrgicas y dentales (Keeler) están disponibles en monturas nuevas.Características:La popular montura deportiva ligera de Keeler con pantalla protectora.Ultraportátil.Incluye 2 piezas nasales ajustables para mayor comodidad.Totalmente personalizadas: elija el color de las monturas que prefiera Ayuda,Monturas de lupa modernas y cómodas en distintos coloresLa extraordinaria montura deportiva Keeler está disponible en varios colores brillantes y se adapta a todas las graduaciones. Todas las lupas quirúrgicas y dentales (Keeler) están disponibles en monturas nuevas.Características:La popular montura deportiva ligera de Keeler con pantalla protectora.Ultraportátil.Incluye 2 piezas nasales ajustables para mayor comodidad.Totalmente personalizadas: elija el color de las monturas que prefiera Ayuda,Totalmente personalizadas: elija el color de las monturas que prefiera,Totalmente personalizadas: elija el color de las monturas que prefiera,https://www.keelerglobal.com/wp-content/uploads/2025/10/LOU-ST-2112-P-1002-to-1025-3.jpg,https://www.keelerglobal.com/wp-content/uploads/2025/10/LOU-ST-2112-P-1002-to-1025-3.jpg,,,
1202-P-7117,KEELER,vantage-plus-hi-mag-lens-1202-p-7117,ophthalmology-surgical,active,,Vantage Plus Hi Mag lens,Vantage Plus Hi Mag lens,Gain 1.6X additional magnification with a Hi Mag lensThe new HiMag™ (patented) lens slides on and off with ease to support your examination needs.Features:1.6x additional magnification than with a condensing lens alone.Enjoy superb stereoscopic images.Scratch resistant coated optics guarantee high quality images at all times.HiMag™ can be flipped out of view when not required.This unique feature is only offered with the Vantage Plus indirect. Helping our customers bring an end to preventable vis,Gain 1.6X additional magnification with a Hi Mag lensThe new HiMag™ (patented) lens slides on and off with ease to support your examination needs.Features:1.6x additional magnification than with a condensing lens alone.Enjoy superb stereoscopic images.Scratch resistant coated optics guarantee high quality images at all times.HiMag™ can be flipped out of view when not required.This unique feature is only offered with the Vantage Plus indirect. Helping our customers bring an end to preventable vis,Image Magnification: HiMag™ can be flipped out of view when not required.,Image Magnification: HiMag™ can be flipped out of view when not required.,https://www.keelerglobal.com/wp-content/uploads/2024/02/1202-P-7192-8-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/1202-P-7192-8-jpg.webp,,,
1599-P-7245,KEELER,montura-deportiva-keeler-est-ndar-copy-1599-p-7245,ophthalmology-surgical,active,,Montura deportiva Keeler (estándar) (Copy),Montura deportiva Keeler (estándar) (Copy),Monturas de lupa modernas y cómodas en distintos coloresLa extraordinaria montura deportiva Keeler está disponible en varios colores brillantes y se adapta a todas las graduaciones. Todas las lupas quirúrgicas y dentales (Keeler) están disponibles en monturas nuevas.Características:La popular montura deportiva ligera de Keeler con pantalla protectora.Ultraportátil.Incluye 2 piezas nasales ajustables para mayor comodidad.Totalmente personalizadas: elija el color de las monturas que prefiera Ayuda,Monturas de lupa modernas y cómodas en distintos coloresLa extraordinaria montura deportiva Keeler está disponible en varios colores brillantes y se adapta a todas las graduaciones. Todas las lupas quirúrgicas y dentales (Keeler) están disponibles en monturas nuevas.Características:La popular montura deportiva ligera de Keeler con pantalla protectora.Ultraportátil.Incluye 2 piezas nasales ajustables para mayor comodidad.Totalmente personalizadas: elija el color de las monturas que prefiera Ayuda,Totalmente personalizadas: elija el color de las monturas que prefiera,Totalmente personalizadas: elija el color de las monturas que prefiera,https://www.keelerglobal.com/wp-content/uploads/2025/10/LOU-ST-2112-P-1002-to-1025-3.jpg,https://www.keelerglobal.com/wp-content/uploads/2025/10/LOU-ST-2112-P-1002-to-1025-3.jpg,,,
1201-P-7000,KEELER,aluminium-carry-case-for-psl-1201-p-7000,ophthalmology-surgical,active,,Aluminium carry case for PSL,Aluminium carry case for PSL,"Transport your PSL in styleProtect your portable slit lamp equipment with an alumium carrying case – perfect when your slit lamp is not in use or when you are travelling.Features:LightweightPlenty of space for your accessories.Rugged Aluminium.Lockable catches.Cushioned pre-cut foam insert for maximum protection. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Transport your PSL in styleProtect your portable slit lamp equipment with an alumium carrying case – perfect when your slit lamp is not in use or when you are travelling.Features:LightweightPlenty of space for your accessories.Rugged Aluminium.Lockable catches.Cushioned pre-cut foam insert for maximum protection. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",Cushioned pre-cut foam: Cushioned pre-cut foam insert for maximum protection.,Cushioned pre-cut foam: Cushioned pre-cut foam insert for maximum protection.,https://www.keelerglobal.com/wp-content/uploads/2024/02/3010-P-7000-6-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/3010-P-7000-6-jpg.webp,,,
1514-P-1144,KEELER,led-fibre-optic-otoscope-1514-p-1144,ophthalmology-surgical,active,,LED Fibre Optic Otoscope,LED Fibre Optic Otoscope,"New for 2024: a brighter, clearer view with LED illuminationThe Keeler LED Fibre Optic Otoscope is a premium product used by ENT professionals and specialists. New LED Fibre Optic Otoscope (available as a full device or a head upgrade) transmits light via optic fibres for homogeneous illumination leading to clear and accurate aural diagnosis.Features:Fibre Optic Otoscope head with LED illumination module (Keeler’s brightest light with longer lasting battery vs traditional Halogen Bulb)Large head","New for 2024: a brighter, clearer view with LED illuminationThe Keeler LED Fibre Optic Otoscope is a premium product used by ENT professionals and specialists. New LED Fibre Optic Otoscope (available as a full device or a head upgrade) transmits light via optic fibres for homogeneous illumination leading to clear and accurate aural diagnosis.Features:Fibre Optic Otoscope head with LED illumination module (Keeler’s brightest light with longer lasting battery vs traditional Halogen Bulb)Large head","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user",https://www.keelerglobal.com/wp-content/uploads/2024/08/ledfibreopticotoscope-1.png,https://www.keelerglobal.com/wp-content/uploads/2024/08/ledfibreopticotoscope-1.png,,,
1512-P-7040,KEELER,all-pupil-2-led-upgrade-1512-p-7040,ophthalmology-surgical,active,,All Pupil 2 LED upgrade,All Pupil 2 LED upgrade,"Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp,,,
1919-P-5338,KEELER,lithium-charger-and-power-supply-1919-p-5338,ophthalmology-surgical,active,,Lithium charger and power supply,Lithium charger and power supply,"Charge your indirect equipment with easeA Lithium charging dock and power supply for use with the Spectra Iris binocular indirect and the Loupe K-LED light system.Features:Battery charges in two hours with a usable charge in five minutes.Illumination strength can be controlled by adjusting the dimmer control knob on the battery pack.Battery pack is not included and must be purchased separately. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Be","Charge your indirect equipment with easeA Lithium charging dock and power supply for use with the Spectra Iris binocular indirect and the Loupe K-LED light system.Features:Battery charges in two hours with a usable charge in five minutes.Illumination strength can be controlled by adjusting the dimmer control knob on the battery pack.Battery pack is not included and must be purchased separately. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Be",Illumination strength can: Illumination strength can be controlled by adjusting the dimmer control knob on the battery pack.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,Illumination strength can: Illumination strength can be controlled by adjusting the dimmer control knob on the battery pack.; Image Magnification: Vantage Plus Hi Mag lens1202-P-7192,https://www.keelerglobal.com/wp-content/uploads/2024/02/1941-p-5385-7-jpg.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/1941-p-5385-7-jpg.webp,,,
1945-P-1000,KEELER,dispos-a-spec-wall-dispenser-with-25x-2-5mm-3-5mm-,ophthalmology-surgical,active,,"Dispos-a-spec wall dispenser with 25x 2.5mm, 3.5mm, 4.5mm, 5.5mm specula","Dispos-a-spec wall dispenser with 25x 2.5mm, 3.5mm, 4.5mm, 5.5mm specula","Speculum dispenserAdd to your new Keeler wall unit or simply display it next to your old Keeler wall unit.Features:Lid can be easily removed to insert new specula.Modern, robust design matches all Keeler wall units. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Speculum dispenserAdd to your new Keeler wall unit or simply display it next to your old Keeler wall unit.Features:Lid can be easily removed to insert new specula.Modern, robust design matches all Keeler wall units. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",25 x 2.5mm: 25 x 2.5mm disposable specula; 25 x 3.5mm: 25 x 3.5mm disposable specula; 25 x 4.5mm: 25 x 4.5mm disposable specula; 25 x 5.5mm: 25 x 5.5mm disposable specula,25 x 2.5mm: 25 x 2.5mm disposable specula; 25 x 3.5mm: 25 x 3.5mm disposable specula; 25 x 4.5mm: 25 x 4.5mm disposable specula; 25 x 5.5mm: 25 x 5.5mm disposable specula,https://www.keelerglobal.com/wp-content/uploads/2024/02/1964-P-2000-10.webp,https://www.keelerglobal.com/wp-content/uploads/2024/02/1964-P-2000-10.webp,,,
1514-P-1187,KEELER,led-practitioner-otoscope-head-only-1514-p-1187,ophthalmology-surgical,active,,LED Practitioner Otoscope head only,LED Practitioner Otoscope head only,"The industry leader for hospital and Gen Med use, now with LED illuminationThe Keeler LED Practitioner Otoscope is the popular choice for hospitals and Gen Med customers.This product is only the head of the Otoscope (replacement for your existing manche), for the complete instrument see ourKeeler LED Practitioner Otoscopeproduct.Features:Practitioner Otoscope head with LED illumination module (brighter, whiter light and longer lasting battery vs traditional Halogen Bulb)Unobstructed open style h","The industry leader for hospital and Gen Med use, now with LED illuminationThe Keeler LED Practitioner Otoscope is the popular choice for hospitals and Gen Med customers.This product is only the head of the Otoscope (replacement for your existing handle), for the complete instrument see ourKeeler LED Practitioner Otoscopeproduct.Features:Practitioner Otoscope head with LED illumination module (brighter, whiter light and longer lasting battery vs traditional Halogen Bulb)Unobstructed open style h",Unobstructed open style: Unobstructed open style head for easy introduction of small instruments for wax or foreign body removal; Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and procedures under magnification,Unobstructed open style: Unobstructed open style head for easy introduction of small instruments for wax or foreign body removal; Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and procedures under magnification,https://www.keelerglobal.com/wp-content/uploads/2024/08/ledpractitionerotoscopeheadonly-3.png,https://www.keelerglobal.com/wp-content/uploads/2024/08/ledpractitionerotoscopeheadonly-3.png,,,
