Ref Fournisseur,Nom Produit (FR),Nom Produit (EN),Fabricant,Discipline (Parent),Categorie,Category ID,Statut
20001,"Micro Pré-Découpeur Crozafon (action croisée, incision 2.2mm)","Crozafon Micro Pre-chopper (cross-action, 2.2-mm Incision)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20002,Nagahara Phaco-chopper (1.3-mm Embout),Nagahara Phaco-chopper (1.3-mm Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20003,Ogawa Pince (pour DSAEK Graft Insertion),Ogawa Forceps (for DSAEK Graft Insertion),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20004,"20G Busin Pince (20g, Distal Control)","20G Busin Forceps (20g, Distal Control)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20006,20G Busin Spatule (pour DSAEK),20G Busin Spatula (for DSAEK),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20007,"Mini Busin Spatule (pour DSAEK, DMEK)","Mini Busin Spatula (for DSAEK, DMEK)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20011,"23G Busin Pince (23g, Distal Control)","23G Busin Forceps (23g, Distal Control)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20017,Villon Nucleus Divider Crochet (vertical Phaco-chopper),Villon Nucleus Divider Hook (vertical Phaco-chopper),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20018,Burtin à Double Extrémité Iris Crochet (à Double Extrémité),Burtin Double-ended Iris Hook (double-ended),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20020,"Pince à Capsulorhexis-1.5-mm (1.5-mm Incision, Cross-action)","Capsulorhexis Forceps-1.5-mm (1.5-mm Incision, Cross-action)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20021,Y Stroma-descemetic Dissector (pour DMEK),Y Stroma-descemetic Dissector (for DMEK),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20024,"Busin Ciseaux (clockwise, pour Kératoplastie)","Busin Scissors (clockwise, for Keratoplasty)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20025,"Busin Ciseaux (counter-clockwise, pour Kératoplastie)","Busin Scissors (counter-clockwise, for Keratoplasty)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20027,"Fontana Canule (pour Big-bubble DALK, Ø 27G)","Fontana Cannula (for Big-bubble DALK, Ø 27G)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20028,Fontana à Double Extrémité Spatule (pour DALK),Fontana Double-ended Spatula (for DALK),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20029,"Gabison Ciseaux (clockwise, pour Kératoplastie)","Gabison Scissors (clockwise, for Keratoplasty)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20030,Gabison Ciseaux (counter-clockwise),Gabison Scissors (counter-clockwise),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20031,"Cross-action Pince à Capsulorhexis-1.8 Mm (1.8-mm Incision, Cross-action)","Cross-action Capsulorhexis Forceps-1.8 Mm (1.8-mm Incision, Cross-action)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20032,"Ancel à Double Extrémité Spatule (pour LASIK, SMILE)","Ancel Double-ended Spatula (for LASIK, SMILE)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20033,Can Pendular Marqueur (pour Toric Iols),Can Pendular Marker (for Toric Iols),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20034,“S” Marqueur-angulé (pour DMEK),“S” Marker-angled (for DMEK),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20035,"Réglable Spéculum (open Courbe Lames, Adult)","Adjustable Speculum (open Curved Blades, Adult)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20036,"Réglable Spéculum (solid Lames, Adult)","Adjustable Speculum (solid Blades, Adult)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20038,DMEK Pince (courbe),DMEK Forceps (curved),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20039,DMEK Pince (droit),DMEK Forceps (straight),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20040,Pisacano Crochet (horizontal Disk Embout),Pisacano Hook (horizontal Disk Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20041,Pisacano Crochet (vertical Disk Embout),Pisacano Hook (vertical Disk Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20042,"Réglable Spéculum (open Square Lames, Adult)","Adjustable Speculum (open Square Blades, Adult)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20043,DSO Gorovoy Marqueur 4mm,DSO Gorovoy Marker 4mm,MORIA,Ophtalmologie,Instruments,oph-instruments,active
20044,IOL Haptic Gorovoy Marqueur (pour IOL Positionning),IOL Haptic Gorovoy Marker (for IOL Positionning),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20045,F Marqueur (pour DMEK),F Marker (for DMEK),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20158,Radial Marqueur-8 Lames (pour Kératoplastie: Pk-dalk),Radial Marker-8 Blades (for Keratoplasty: Pk-dalk),MORIA,Ophtalmologie,Instruments,oph-instruments,active
20221X1,"Composites 23G Pince à Capsulorhexis – Long (1.5-mm Incision, 23G)","Composites 23G Capsulorhexis Forceps – Long (1.5-mm Incision, 23G)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
20222X1,"Composites 23G Pince à Capsulorhexis-short (1.5-mm Incision, 23G)","Composites 23G Capsulorhexis Forceps-short (1.5-mm Incision, 23G)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
2125,Desmarres Pince (25 Mm),Desmarres Forceps (25 Mm),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2131,Lambert Pince (11 Mm),Lambert Forceps (11 Mm),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2146,"Pince (droit, Taille Moyenne, Regular)","Forceps (straight, Medium Size, Regular)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
2180A,Bonaccolto Pince (0.8-mm Dentelé Mors),Bonaccolto Forceps (0.8-mm Serrated Jaws),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2183,Pince (1-mm Dentelé Mors),Forceps (1-mm Serrated Jaws),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2221,Barraquer Pince (droit avec Oblique Teeth),Barraquer Forceps (straight with Oblique Teeth),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2228,Elschnig Pince (droit avec Crossed Teeth),Elschnig Forceps (straight with Crossed Teeth),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22517172,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518350,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518351,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518352,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518353,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518354,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518355,Sterilization Boîte (in Acier Inoxydable),Sterilization Box (in Stainless Steel),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518356,Sterilization Boîte (in Acier Inoxydable),Sterilization Box (in Stainless Steel),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518357,Sterilization Boîte (in Acier Inoxydable),Sterilization Box (in Stainless Steel),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518358,Sterilization Boîte (in Acier Inoxydable),Sterilization Box (in Stainless Steel),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22518359,Sterilization Boîte (in Acier Inoxydable),Sterilization Box (in Stainless Steel),MORIA,Ophtalmologie,Instruments,oph-instruments,active
22519093,Sterilization Boîte (in Aluminum),Sterilization Box (in Aluminum),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2280A,Lester Pince (1.1-mm Teeth),Lester Forceps (1.1-mm Teeth),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2321,"De Wecker Pince “mosquito” (droit, Cross-action)","De Wecker Forceps “mosquito” (straight, Cross-action)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
2432,"Barraquer Pince (6-mm Platforms, Mors Droits)","Barraquer Forceps (6-mm Platforms, Straight Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
2456,Jaeger Paupière Plate,Jaeger Eyelid Plate,MORIA,Ophtalmologie,Instruments,oph-instruments,active
247,Anneau de Snellen (standard),Snellen Loop (standard),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2484,"Vantey-desvignes Porte-aiguille (sans Verrouillage, Droit, Wide Mors)","Vantey-desvignes Needle-holder (non-locking, Straight, Wide Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
2597B,Desmarres Lid Écarteur (pour Lid Retraction),Desmarres Lid Retractor (for Lid Retraction),MORIA,Ophtalmologie,Instruments,oph-instruments,active
2873A,Sichel Lachrymal Duct Sonde (0.41 Mm),Sichel Lachrymal Duct Probe (0.41 Mm),MORIA,Ophtalmologie,Instruments,oph-instruments,active
3201,Paufique Couteau (pour Cornée),Paufique Knife (for Cornea),MORIA,Ophtalmologie,Instruments,oph-instruments,active
3225,Burrato-sinskey Manipulator Crochet (angulé Partie Active avec un 0.7-mm Angulé Embout),Burrato-sinskey Manipulator Hook (angled Active Part with a 0.7-mm Angled Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
393,One Use-plus 130 Tête (pour LASIK Chirurgie),One Use-plus 130 Head (for LASIK Surgery),MORIA,Ophtalmologie,Instruments,oph-instruments,active
4134C,"Castroviejo Porte-aiguille (à Verrouillage, Conical et Dentelé Mors, Courbe Embout)","Castroviejo Needle-holder (locking, Conical and Serrated Jaws, Curved Tip)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
4134D,"Castroviejo Porte-aiguille (sans Verrouillage, Conical et Dentelé Mors)","Castroviejo Needle-holder (non-locking, Conical and Serrated Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
4170,"Sourdille Compas (graduatations Every 1 Mm, Opening Partie Active 0 to 16 Mm)","Sourdille Caliper (graduatations Every 1 Mm, Opening Active Part 0 to 16 Mm)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
4174,Foster-paufique Loop (pour Enucleation),Foster-paufique Loop (for Enucleation),MORIA,Ophtalmologie,Instruments,oph-instruments,active
4174B,Ensemble of 10 Acier Inoxydable Wires (pour Foster-paufique Loop (#4174)),Set of 10 Stainless Steel Wires (for Foster-paufique Loop (#4174)),MORIA,Ophtalmologie,Instruments,oph-instruments,active
4180A,"Barraquer Porte-aiguille (à Verrouillage, 1.5-mm Mors Courbes)","Barraquer Needle-holder (locking, 1.5-mm Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
4251C,Sevrin-stevens Ciseaux (pour Tenotomy),Sevrin-stevens Scissors (for Tenotomy),MORIA,Ophtalmologie,Instruments,oph-instruments,active
4263,"Westcott-cochet Ciseaux (droit, Lames Mousses)","Westcott-cochet Scissors (straight, Blunt Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
4877A,"Ophthalmic Ciseaux (droit, Pointed Lames)","Ophthalmic Scissors (straight, Pointed Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
4878A,Ciseaux (courbe Lames),Scissors (curved Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
550,OU LC 550 Tête (x5) (pour Artificial Chambers),OU LC 550 Head (x5) (for Artificial Chambers),MORIA,Ophtalmologie,Instruments,oph-instruments,active
6031BIS,"Cilia Pince, Swiss Model (1.5-mm Concave Mors)","Cilia Forceps, Swiss Model (1.5-mm Concave Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
61,ALTK Artificial Chamber Base (pour Kératoplastie),ALTK Artificial Chamber Base (for Keratoplasty),MORIA,Ophtalmologie,Instruments,oph-instruments,active
6100,Urrets-zavalia Marqueur (pour Rétinien Detachment),Urrets-zavalia Marker (for Retinal Detachment),MORIA,Ophtalmologie,Instruments,oph-instruments,active
6223,"De Saint Martin-barraquer Pince (5-mm Tying Platforms, 0.5-mm Oblique Teeth)","De Saint Martin-barraquer Forceps (5-mm Tying Platforms, 0.5-mm Oblique Teeth)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
6346A,"Barraquer Adult Spéculum, Colibri (closed Lames, Adult)","Barraquer Adult Speculum, Colibri (closed Blades, Adult)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
6346B,"Barraquer Spéculum Colibri, Child Taille (fenestrated Lames, Pediatric)","Barraquer Speculum Colibri, Child Size (fenestrated Blades, Pediatric)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
6346C,"Barraquer Spéculum Colibri, Baby Taille (closed Lames, Pediatric)","Barraquer Speculum Colibri, Baby Size (closed Blades, Pediatric)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
6346D,"Barraquer Spéculum Colibri, Newborn Taille (closed Lames, Newborn)","Barraquer Speculum Colibri, Newborn Size (closed Blades, Newborn)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7251,"Barraquer-de Laage Porte-aiguille (sans Verrouillage, 1.0-mm Mors Courbes)","Barraquer-de Laage Needle-holder (non-locking, 1.0-mm Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7252,"Barraquer Porte-aiguille (sans Verrouillage, 1.5-mm Mors Courbes)","Barraquer Needle-holder (non-locking, 1.5-mm Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7252BIS,"Barraquer-de Laage Porte-aiguille (sans Verrouillage, 0.8-mm Mors Courbes, Lightened Manche)","Barraquer-de Laage Needle-holder (non-locking, 0.8-mm Curved Jaws, Lightened Handle)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7384,"Castroviejo Pince (6-mm Tying Platforms, 0.4-mm Oblique Teeth)","Castroviejo Forceps (6-mm Tying Platforms, 0.4-mm Oblique Teeth)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7431,"Barraquer Pince, “colibri” Type (1-mm Platforms)","Barraquer Forceps, “colibri” Type (1-mm Platforms)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7503,Calamendrei Canule (ø 0.2 Mm),Calamendrei Cannula (ø 0.2 Mm),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7504,Rycroft Canule (ø 35G),Rycroft Cannula (ø 35G),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7699,"Corcelle Spéculum, Oblique (solid Lames)","Corcelle Speculum, Oblique (solid Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7825B,Barraquer Iris Spatule (horizontal Disk Embout),Barraquer Iris Spatula (horizontal Disk Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7825C,Barraquer Iris Spatule (horizontal Disk Embout),Barraquer Iris Spatula (horizontal Disk Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7835,Bonn Pince (0.12-mm Teeth avec Platforms),Bonn Forceps (0.12-mm Teeth with Platforms),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7835C,"Moria Pince (4-mm Platforms, Mors Droits)","Moria Forceps (4-mm Platforms, Straight Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7850A,Bonn-moria Pince (0.18-mm Teeth avec Platforms),Bonn-moria Forceps (0.18-mm Teeth with Platforms),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7850B,Moria Pince (0.18-mm Teeth avec Platforms),Moria Forceps (0.18-mm Teeth with Platforms),MORIA,Ophtalmologie,Instruments,oph-instruments,active
7850C,"Moria Pince (3-mm Platforms, Mors Droits)","Moria Forceps (3-mm Platforms, Straight Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7862,"Barraquer-troutman Pince (0.12-mm Oblique Teeth, “colibri” Type)","Barraquer-troutman Forceps (0.12-mm Oblique Teeth, “colibri” Type)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
7865,"Barraquer Ciseaux (droit, Angulé Lames)","Barraquer Scissors (straight, Angled Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
791,"Galezowski Canule (lachrymal Canule, Ø 23G)","Galezowski Cannula (lachrymal Cannula, Ø 23G)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
792,"Galezowski Canule (lachrymal Canule, Ø 23G)","Galezowski Cannula (lachrymal Cannula, Ø 23G)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8016,"Barraquer Canule (bulbous Embout, 23G Outer Ø, 27G Inner Ø)","Barraquer Cannula (bulbous Tip, 23G Outer Ø, 27G Inner Ø)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8023A,"Katzin Ciseaux (clockwise, pour Kératoplastie)","Katzin Scissors (clockwise, for Keratoplasty)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8023B,"Katzin Ciseaux (counter-clockwise, pour Kératoplastie)","Katzin Scissors (counter-clockwise, for Keratoplasty)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8063,Gass-rouchy Crochet (holed-embout),Gass-rouchy Hook (holed-tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
8090,"Barraquer Ciseaux (droit, Angulé, Pointed Lames)","Barraquer Scissors (straight, Angled, Pointed Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8100,Vannas Ciseaux (courbe Lames Mousses),Vannas Scissors (curved Blunt Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
8142A,"Micro-ciseaux (courbe, Pointed Lames)","Micro-scissors (curved, Pointed Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8143A,"Micro-ciseaux (droit, Pointed Lames)","Micro-scissors (straight, Pointed Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8144A,"Micro-ciseaux (courbe, Lames Mousses)","Micro-scissors (curved, Blunt Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8147,"Castroviejo Porte-aiguille (à Verrouillage, Mors Droits)","Castroviejo Needle-holder (locking, Straight Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8148,"Castroviejo Porte-aiguille (sans Verrouillage, Mors Droits)","Castroviejo Needle-holder (non-locking, Straight Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8149,"Castroviejo Porte-aiguille (à Verrouillage, Mors Courbes)","Castroviejo Needle-holder (locking, Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8150,"Castroviejo Porte-aiguille (sans Verrouillage, Mors Courbes)","Castroviejo Needle-holder (non-locking, Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
8151,"Barraquer Porte-aiguille (sans Verrouillage, 15-mm Mors Courbes, 0.5-mm Wide)","Barraquer Needle-holder (non-locking, 15-mm Curved Jaws, 0.5-mm Wide)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
90061L,Charleux-simcoe Canule (double-way),Charleux-simcoe Cannula (double-way),MORIA,Ophtalmologie,Instruments,oph-instruments,active
917,One Use-plus Handpiece pour Artificial Chamber (pour DSAEK Chirurgie),One Use-plus Handpiece for Artificial Chamber (for DSAEK Surgery),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9510,"Castroviejo “utility” Pince (6.5-mm Platforms, 0.3-mm Oblique Teeth)","Castroviejo “utility” Forceps (6.5-mm Platforms, 0.3-mm Oblique Teeth)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9600,Vannas Ciseaux (droit Pointed Lames),Vannas Scissors (straight Pointed Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9600BIS,Vannas Ciseaux (droit Lames Mousses),Vannas Scissors (straight Blunt Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9601,Vannas Ciseaux (courbe Lames Mousses),Vannas Scissors (curved Blunt Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9611B,Culler Iris Spatule (très Délicat),Culler Iris Spatula (very Delicate),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9623,"Charleux Canule (aspirator, Ø 0.4mm)","Charleux Cannula (aspirator, Ø 0.4mm)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9627A,"Castroviejo Spéculum (fenestrated Lames, Adult)","Castroviejo Speculum (fenestrated Blades, Adult)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9627B,"Castroviejo Spéculum, Child Model (fenestrated Lames, Pediatric)","Castroviejo Speculum, Child Model (fenestrated Blades, Pediatric)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9721,Castroviejo Ciseaux (courbe Lames Mousses),Castroviejo Scissors (curved Blunt Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9803,"Pierse Pince (0.2-mm Oblique Teeth, “colibri” Type, avec Notched Mors et Platforms)","Pierse Forceps (0.2-mm Oblique Teeth, “colibri” Type, with Notched Jaws and Platforms)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9850,Troutman Ciseaux (clockwise),Troutman Scissors (clockwise),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9851,Troutman Ciseaux (counter-clockwise),Troutman Scissors (counter-clockwise),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9960,"Troutman-o'brien Porte-aiguille (sans Verrouillage, 0.8-mm Mors Courbes)","Troutman-o'brien Needle-holder (non-locking, 0.8-mm Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9960BIS,"Troutman-o'brien Porte-aiguille (à Verrouillage, 0.8-mm Mors Courbes)","Troutman-o'brien Needle-holder (locking, 0.8-mm Curved Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9965,Remky-polak Pince (3.0-mm Angulé Teeth),Remky-polak Forceps (3.0-mm Angled Teeth),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9980,"Micro-chirurgie Pince (droit, Ultra-thin Embout)","Micro-surgery Forceps (straight, Ultra-thin Tip)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
9983,Micro-chirurgie Pince (droit),Micro-surgery Forceps (straight),MORIA,Ophtalmologie,Instruments,oph-instruments,active
9987,Micro-chirurgie Pince (courbe),Micro-surgery Forceps (curved),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M0489,Castroviejo à Double Extrémité Spatule (à Double Extrémité),Castroviejo Double-ended Spatula (double-ended),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M0567,Kuglen Crochet (k-embout),Kuglen Hook (k-tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M0570N,Nichamin à Double Extrémité Spatule (à Double Extrémité),Nichamin Double-ended Spatula (double-ended),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M0577,Osher Crochet (y Embout),Osher Hook (y Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M0712,Koch Spatule (6.5-mm Embout),Koch Spatula (6.5-mm Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M1796,"Castroviejo Pince à Suture (5.8-mm Platforms, 0.18-mm Teeth)","Castroviejo Suturing Forceps (5.8-mm Platforms, 0.18-mm Teeth)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
M1809,Bonn Pince (0.12-mm Teeth),Bonn Forceps (0.12-mm Teeth),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M1815A,"Kelman-mac Pherson Pince (7-mm Platforms, Angulé Mors)","Kelman-mac Pherson Forceps (7-mm Platforms, Angled Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
M1815S,"Mac Pherson Pince (4-mm Platforms, Mors Droits)","Mac Pherson Forceps (4-mm Platforms, Straight Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
M2002,Corydon Pince-1.8 Mm (1.8-mm Incision),Corydon Forceps-1.8 Mm (1.8-mm Incision),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M32390,Nagahara Spatule (110° Angulé Embout),Nagahara Spatula (110° Angled Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M35220,Sinskey Crochet (0.6-mm Embout Longueur),Sinskey Hook (0.6-mm Tip Length),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M35522,Kuglen Crochet (olive Embout),Kuglen Hook (olive Tip),MORIA,Ophtalmologie,Instruments,oph-instruments,active
M5030,"Kelman-mac Pherson Pince (11-mm Platforms, Angulé Mors)","Kelman-mac Pherson Forceps (11-mm Platforms, Angled Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC19,Pascheff Wolff Ciseaux (6-mm Lames),Pascheff Wolff Scissors (6-mm Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC19B,Wolff Ciseaux (4-mm Lames),Wolff Scissors (4-mm Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC26B,"Dowell Ciseaux (droit, Pointed Lames)","Dowell Scissors (straight, Pointed Blades)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC31,"Pince à Iris (courbe, Dentelé Mors)","Iris Forceps (curved, Serrated Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC32,"Pince à Iris (droit, Dentelé Mors)","Iris Forceps (straight, Serrated Jaws)",MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC40,Dumont Pince (droit),Dumont Forceps (straight),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC40B,Dumont Pince (courbe),Dumont Forceps (curved),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC43,De Wecker “mosquito” Pince (droit),De Wecker “mosquito” Forceps (straight),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC44,De Wecker mosquito Pince (courbe),De Wecker mosquito Forceps (curved),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC50,Vannas Ciseaux (courbe Pointed Lames),Vannas Scissors (curved Pointed Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
MC52,Vannas Ciseaux (droit Pointed Lames),Vannas Scissors (straight Pointed Blades),MORIA,Ophtalmologie,Instruments,oph-instruments,active
TI7835,Bonn Pince-titane (0.12-mm Teeth avec Platforms),Bonn Forceps-titanium (0.12-mm Teeth with Platforms),MORIA,Ophtalmologie,Instruments,oph-instruments,active
402516,Surgical Plain Drape,,Star-set,Ophtalmologie,Instruments,oph-instruments,active
426116,Champ Opératoire avec Ruban Adhésif,,Star-set,Ophtalmologie,Instruments,oph-instruments,active
432516,Surgical Fenestrated Drape,,Star-set,Ophtalmologie,Instruments,oph-instruments,active
452516,Champ Opératoire avec Fenêtre Adhésive,,Star-set,Ophtalmologie,Instruments,oph-instruments,active
"A10.1500, A1.2100, A3.1030, A6.2026, A6.8000, A7.1110, A8.3005",Boîte d'Instruments Chirurgicaux pour Chalazion,Chalazion Surgical Instrument Set,fci,Ophtalmologie,Instruments,oph-instruments,active
"A10.1600, A3.1030, A3.3000, A6.6210, A6.8000, A6.8030, A7.1110, A8.3005",Boîte d'Instruments Chirurgicaux pour Ptérygion,Pterygium Surgical Instrument Set,fci,Ophtalmologie,Instruments,oph-instruments,active
"A10.4000, A5.2113, A3.1210, A3.4030, A2.4400, A6.7110, A6.5110, A6.4100, A7.3110, A8.3010",Boîte d'Instruments Chirurgicaux pour Glaucome,Glaucoma Surgical Instrument Set,fci,Ophtalmologie,Instruments,oph-instruments,active
"A10.7000, A8.4050, A8.4120, A6.8000, A1.2210, A1.2300, A3.3100, A3.1120, A7.1010, A8.3010",Boîte d'Instruments Chirurgicaux pour Dacryocystorhinostomie (DCR),Dacryocystorhinostomy (DCR) Surgical Instrument Set,fci,Ophtalmologie,Instruments,oph-instruments,active
