referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl
2414-P-7042,KEELER,tonoclear-single-use-applanation-prisms-box-of-100,ophthalmology-surgical,active,,Tonoclear – à usage unique applanation prisms (box de 100),Tonoclear – Single-use applanation prisms (box of 100),"Get a superior view de the mires, efficiently et safelyour tonoclear à usage unique applanation prisms are cleverly designed to accommodate variations dans léger(ère) intensity to ensure a clear view de the mires, supporting an accurate screening et diagnosis. individually packed dans boxes de 100, the prisms come pre-assembled to reduce any risk de a cross-contamination et hold-ups to your work-flow. features: less léger(ère) sensitive pour superior visualisation de the miresuniversally compatible to work avec al","Get a superior view of the mires, efficiently and safelyOur Tonoclear single-use applanation prisms are cleverly designed to accommodate variations in light intensity to ensure a clear view of the mires, supporting an accurate screening and diagnosis.Individually packed in boxes of 100, the prisms come pre-assembled to reduce any risk of a cross-contamination and hold-ups to your work-flow.Features:Less light sensitive for superior visualisation of the miresUniversally compatible to work with al",Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-7045-7-jpg.webp
19080,MORIA,fox-spatula-for-lasik-19080,ophthalmology-surgical,active,,Fox spatule(pour lasik),Fox Spatula(for LASIK),"Total length is 11.3 cm, avec trident-shaped, semi-aigu(e) sides, 3 mm tip.","Total length is 11.3 cm, with trident-shaped, semi-sharp sides, 3-mm tip.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 113 mm; Tip: 3-mm, semi-sharp sides, trident form; Intended use: Used during LASIK enhancement surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 113 mm; Tip: 3-mm, semi-sharp sides, trident form; Intended use: Used during LASIK enhancement surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/d2c57aff6de24b2f8c040e27d2ba862a0f569abf.jpg
1514-P-7124,KEELER,led-fibre-optic-otoscope-1514-p-7124,ophthalmology-surgical,active,,Led fibre optic otoscope,LED Fibre Optic Otoscope,"New pour 2024: a brighter, clearer view avec led illuminationthe keeler led fibre optic otoscope is a premium product used par ent professionals et specialists. new led fibre optic otoscope (available as a full dispositif ou a head upgrade) transmits léger(ère) via optic fibres pour homogeneous illumination leading to clear et accurate aural diagnosis. features: fibre optic otoscope head avec led illumination module (keeler’s brightest léger(ère) avec longer lasting battery vs traditional halogen bulb)large head","New for 2024: a brighter, clearer view with LED illuminationThe Keeler LED Fibre Optic Otoscope is a premium product used by ENT professionals and specialists. New LED Fibre Optic Otoscope (available as a full device or a head upgrade) transmits light via optic fibres for homogeneous illumination leading to clear and accurate aural diagnosis.Features:Fibre Optic Otoscope head with LED illumination module (Keeler’s brightest light with longer lasting battery vs traditional Halogen Bulb)Large head","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user","Image Magnification: Large slide aside 2.5x lens for clear view of aural structures and foreign body removal procedures under magnification; Five permanent Speculae (diameters: 2.5mm, 3.5mm, 4.5mm, 5.5mm and 8mm); 2.4V models require: 2.4V models require 2x AA batteries to be supplied by user",https://www.keelerglobal.com/wp-content/uploads/2024/08/ledfibreopticotoscope-1.png
2414-P-5051,KEELER,d-kat-tonometer-calibration-arm-assembly-2414-p-50,ophthalmology-surgical,active,,D-kat tonometer calibration arm assembly,D-KAT tonometer calibration arm assembly,"Genuine keeler accessory pour your applanation tonometerhigh quality remplacement calibration arm assembly part pour your keeler d-kat t (takeaway) digital applanation tonometer helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Genuine Keeler accessory for your applanation tonometerHigh quality replacement calibration arm assembly part for your Keeler D-KAT T (takeaway) digital applanation tonometer Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",AccuTip tonometer covers: AccuTip tonometer covers - Sleeved - 300 individually wrappedAX11932,AccuTip tonometer covers: AccuTip tonometer covers - Sleeved - 300 individually wrappedAX11932,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-5005-7-jpg.webp
2414-P-7040,KEELER,tonoclear-single-use-applanation-prisms-box-of-100,ophthalmology-surgical,active,,Tonoclear – à usage unique applanation prisms (box de 100),Tonoclear – Single-use applanation prisms (box of 100),"Get a superior view de the mires, efficiently et safelyour tonoclear à usage unique applanation prisms are cleverly designed to accommodate variations dans léger(ère) intensity to ensure a clear view de the mires, supporting an accurate screening et diagnosis. individually packed dans boxes de 100, the prisms come pre-assembled to reduce any risk de a cross-contamination et hold-ups to your work-flow. features: less léger(ère) sensitive pour superior visualisation de the miresuniversally compatible to work avec al","Get a superior view of the mires, efficiently and safelyOur Tonoclear single-use applanation prisms are cleverly designed to accommodate variations in light intensity to ensure a clear view of the mires, supporting an accurate screening and diagnosis.Individually packed in boxes of 100, the prisms come pre-assembled to reduce any risk of a cross-contamination and hold-ups to your work-flow.Features:Less light sensitive for superior visualisation of the miresUniversally compatible to work with al",Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-7045-7-jpg.webp
2414-P-7041,KEELER,tonoclear-single-use-applanation-prisms-box-of-100,ophthalmology-surgical,active,,Tonoclear – à usage unique applanation prisms (box de 100),Tonoclear – Single-use applanation prisms (box of 100),"Get a superior view de the mires, efficiently et safelyour tonoclear à usage unique applanation prisms are cleverly designed to accommodate variations dans léger(ère) intensity to ensure a clear view de the mires, supporting an accurate screening et diagnosis. individually packed dans boxes de 100, the prisms come pre-assembled to reduce any risk de a cross-contamination et hold-ups to your work-flow. features: less léger(ère) sensitive pour superior visualisation de the miresuniversally compatible to work avec al","Get a superior view of the mires, efficiently and safelyOur Tonoclear single-use applanation prisms are cleverly designed to accommodate variations in light intensity to ensure a clear view of the mires, supporting an accurate screening and diagnosis.Individually packed in boxes of 100, the prisms come pre-assembled to reduce any risk of a cross-contamination and hold-ups to your work-flow.Features:Less light sensitive for superior visualisation of the miresUniversally compatible to work with al",Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-7045-7-jpg.webp
1012-P-7003,KEELER,all-pupil-2-led-upgrade-1012-p-7003,ophthalmology-surgical,active,,All pupil 2 led upgrade,All Pupil 2 LED upgrade,"Léger(ère), bright et easy to usethis led upgrade plugs into the back de your all pupil ii to give you all the benefits de led illumination. features: led cooler colour provides brighter, whiter illumination. freedom de purchasing bulbsan led life expectancy up to 10,000 hours. includes 5 years warranty. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp
1512-P-7008,KEELER,all-pupil-2-led-upgrade-1512-p-7008,ophthalmology-surgical,active,,All pupil 2 led upgrade,All Pupil 2 LED upgrade,"Léger(ère), bright et easy to usethis led upgrade plugs into the back de your all pupil ii to give you all the benefits de led illumination. features: led cooler colour provides brighter, whiter illumination. freedom de purchasing bulbsan led life expectancy up to 10,000 hours. includes 5 years warranty. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp
2414-P-2005,KEELER,d-kat-tonometer-calibration-arm-assembly-2414-p-20,ophthalmology-surgical,active,,D-kat tonometer calibration arm assembly,D-KAT tonometer calibration arm assembly,"Genuine keeler accessory pour your applanation tonometerhigh quality remplacement calibration arm assembly part pour your keeler d-kat t (takeaway) digital applanation tonometer helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Genuine Keeler accessory for your applanation tonometerHigh quality replacement calibration arm assembly part for your Keeler D-KAT T (takeaway) digital applanation tonometer Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",AccuTip tonometer covers: AccuTip tonometer covers - Sleeved - 300 individually wrappedAX11932,AccuTip tonometer covers: AccuTip tonometer covers - Sleeved - 300 individually wrappedAX11932,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-5005-7-jpg.webp
EP29-32777,KEELER,power-cable-for-keeler-instruments-ep29-32777,ophthalmology-surgical,active,,Power cable pour keeler instruments,Power cable for Keeler instruments,"Keep your keeler products charged avec easethis power supply is compatible avec many de the keeler devices to ensure your équipement stays active throughout your examinations. features:110v to 240v 50 / 60hz worldwide input power.12v 2.5a outputtype fw7362m/12.3 pin female fly lead connection. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Keep your Keeler products charged with easeThis power supply is compatible with many of the Keeler devices to ensure your equipment stays active throughout your examinations.Features:110V to 240V 50 / 60Hz worldwide input power.12V 2.5A outputType FW7362M/12.3 pin female fly lead connection. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","Dispos-a-spec wall dispenser: Dispos-a-spec wall dispenser with 25x 2.5mm, 3.5mm, 4.5mm, 5.5mm specula1964-P-2000","Dispos-a-spec wall dispenser: Dispos-a-spec wall dispenser with 25x 2.5mm, 3.5mm, 4.5mm, 5.5mm specula1964-P-2000",https://www.keelerglobal.com/wp-content/uploads/2024/02/EP29-32777-H-6-jpg.webp
3412-P-7002,KEELER,indirect-carry-case-3412-p-7002,ophthalmology-surgical,active,,Indirect carry case,Indirect carry case,"Transport your indirect dans stylenew slim professional carrying case. choose to transport your instrument using wheels ou carry it sur your shoulder. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Transport your indirect in styleNew slim professional carrying case. Choose to transport your instrument using wheels or carry it on your shoulder. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177",,,https://www.keelerglobal.com/wp-content/uploads/2024/02/3412-P-7000-6-jpg.webp
1013-P-7008,KEELER,all-pupil-2-led-upgrade-1013-p-7008,ophthalmology-surgical,active,,All pupil 2 led upgrade,All Pupil 2 LED upgrade,"Léger(ère), bright et easy to usethis led upgrade plugs into the back de your all pupil ii to give you all the benefits de led illumination. features: led cooler colour provides brighter, whiter illumination. freedom de purchasing bulbsan led life expectancy up to 10,000 hours. includes 5 years warranty. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp
1012-P-7006,KEELER,all-pupil-2-led-upgrade-1012-p-7006,ophthalmology-surgical,active,,All pupil 2 led upgrade,All Pupil 2 LED upgrade,"Léger(ère), bright et easy to usethis led upgrade plugs into the back de your all pupil ii to give you all the benefits de led illumination. features: led cooler colour provides brighter, whiter illumination. freedom de purchasing bulbsan led life expectancy up to 10,000 hours. includes 5 years warranty. helping our customers bring an end to preventable vision loss. keeler ltdclewer hill road, windsor, berkshire sl4 4aa uktel: +44 (0) 1753 857 177","Light, bright and easy to useThis LED upgrade plugs into the back of your All Pupil II to give you all the benefits of LED illumination.Features:LED cooler colour provides brighter, whiter illumination.Freedom from purchasing bulbsAn LED life expectancy up to 10,000 hours.Includes 5 years warranty. Helping our customers bring an end to preventable vision loss. Keeler LtdClewer Hill Road, Windsor, Berkshire SL4 4AA UKTel: +44 (0) 1753 857 177","An LED life: An LED life expectancy up to 10,000 hours.","An LED life: An LED life expectancy up to 10,000 hours.",https://www.keelerglobal.com/wp-content/uploads/2024/02/all-pupill-ii-a4-sheet-250-250-jpg.webp
2414-P-7040,KEELER,tonoclear-single-use-applanation-prisms-box-of-100,ophthalmology-surgical,active,,Tonoclear – à usage unique applanation prisms (box de 100),Tonoclear – Single-use applanation prisms (box of 100),"Get a superior view de the mires, efficiently et safelyour tonoclear à usage unique applanation prisms are cleverly designed to accommodate variations dans léger(ère) intensity to ensure a clear view de the mires, supporting an accurate screening et diagnosis. individually packed dans boxes de 100, the prisms come pre-assembled to reduce any risk de a cross-contamination et hold-ups to your work-flow. features: less léger(ère) sensitive pour superior visualisation de the miresuniversally compatible to work avec al","Get a superior view of the mires, efficiently and safelyOur Tonoclear single-use applanation prisms are cleverly designed to accommodate variations in light intensity to ensure a clear view of the mires, supporting an accurate screening and diagnosis.Individually packed in boxes of 100, the prisms come pre-assembled to reduce any risk of a cross-contamination and hold-ups to your work-flow.Features:Less light sensitive for superior visualisation of the miresUniversally compatible to work with al",Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,Single use prisms: Single use prisms (box of 100); AccuTip tonometer covers: AccuTip tonometer covers - Sleeveless - Bulk box of 900AX9951,https://www.keelerglobal.com/wp-content/uploads/2024/02/2414-P-7045-7-jpg.webp
3020-P-2082,KEELER,c-mara-de-l-mpara-de-hendidura-digital-ready-con-s,ophthalmology-surgical,active,,Cámara de lámpara de hendidura digital ready con software de imagen kapture,Cámara de lámpara de hendidura digital ready con software de imagen Kapture,"Lleve su lámpara de hendidura a la era digitalcámara de 3 megapíxeles y software kapture convierta su lámpara de hendidura digital ready en una lámpara de hendidura digital totalmente funcional. características: usb 3.0. resolución 2048 x 1536. velocidad de fotogramas de hasta 57 fps. ayudando a nuestros clientes a poner fin a la pérdida de visión evitable. keelerclewer hill road, windsor, berkshire sl4 4aa reino unidotel: +44 (0) 1753 857 177","Lleve su lámpara de hendidura a la era digitalCámara de 3 megapíxeles y software Kapture convierta su lámpara de hendidura digital ready en una lámpara de hendidura digital totalmente funcional.Características:USB 3.0.Resolución 2048 x 1536.Velocidad de fotogramas de hasta 57 FPS. Ayudando a nuestros clientes a poner fin a la pérdida de visión evitable. KeelerClewer Hill Road, Windsor, Berkshire SL4 4AA Reino UnidoTel: +44 (0) 1753 857 177",Resolución 2048 x: Resolución 2048 x 1536.,Resolución 2048 x: Resolución 2048 x 1536.,https://www.keelerglobal.com/wp-content/uploads/2024/02/3020-P-2022-6-jpg.webp
1204-P-3036,KEELER,all-pupil-ii-binocular-indirect-ophthalmoscope-120,ophthalmology-surgical,active,,All pupil ii binocular indirect ophthalmoscope,All Pupil II binocular indirect ophthalmoscope,"Léger(ère), bright et easy to useimproving sur the conception de the number one selling all pupil indirect, the all pupil ii gives you ultimate illumination control et world class optics, wrapped up dans a simple, but durable construction pour eye care professionals that need an ophthalmoscope they can rely sur. the keeler all pupil ii is designed to provide ease de use combined avec balanced comfort pour regular use dans a range de clinical applications à travers the binocular optical view used dans conjunction w","Light, bright and easy to useImproving on the design of the number one selling All Pupil indirect, the All Pupil II gives you ultimate illumination control and world class optics, wrapped up in a simple, but durable construction for eye care professionals that need an ophthalmoscope they can rely on. The Keeler All Pupil II is designed to provide ease of use combined with balanced comfort for regular use in a range of clinical applications through the binocular optical view used in conjunction w",Exceptional Keeler optics.: Exceptional Keeler optics.; Extra battery pack.: Extra battery pack.,Exceptional Keeler optics.: Exceptional Keeler optics.; Extra battery pack.: Extra battery pack.,https://www.keelerglobal.com/wp-content/uploads/2024/02/1204-P-3043-8-scaled.webp
2509-P-8015,KEELER,cryo-ii-extended-retinal-pencil-2509-p-8015,ophthalmology-surgical,active,,Cryo ii extended rétinien(ne) pencil,Cryo II extended retinal pencil,"Keeler’s flagship réutilisable sonde avec extensionthe extended rétinien(ne) pencil builds upon keeler’s flagship réutilisable rétinien(ne) sonde et provides easier access to posterior pole areas. the sonde tip has been designed to gain optimal results pendant rétinien(ne) cryopexy. the sonde has been designed to treat pathologies such as rétinien(ne) tears, holes, treatment de retinopathy de prematurity (rop), pneumatic retinopexy et can be used pendant scléral(e) buckle procedures pour rétinien(ne) detachments. features: fast freez","Keeler’s flagship reusable probe with extensionThe extended retinal pencil builds upon Keeler’s flagship reusable retinal probe and provides easier access to posterior pole areas. The probe tip has been designed to gain optimal results during retinal cryopexy. The probe has been designed to treat pathologies such as retinal tears, holes, treatment of retinopathy of prematurity (ROP), pneumatic retinopexy and can be used during scleral buckle procedures for retinal detachments.Features:Fast freez",Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 4mm.; Tip diameter: 5mm.; Tip angle: 30 degrees.; Tip extension length: 2mm.,Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 4mm.; Tip diameter: 5mm.; Tip angle: 30 degrees.; Tip extension length: 2mm.,https://www.keelerglobal.com/wp-content/uploads/2024/02/2509-P-8021-6-scaled.webp
1204-P-3041,KEELER,all-pupil-ii-binocular-indirect-ophthalmoscope-120,ophthalmology-surgical,active,,All pupil ii binocular indirect ophthalmoscope,All Pupil II binocular indirect ophthalmoscope,"Léger(ère), bright et easy to useimproving sur the conception de the number one selling all pupil indirect, the all pupil ii gives you ultimate illumination control et world class optics, wrapped up dans a simple, but durable construction pour eye care professionals that need an ophthalmoscope they can rely sur. the keeler all pupil ii is designed to provide ease de use combined avec balanced comfort pour regular use dans a range de clinical applications à travers the binocular optical view used dans conjunction w","Light, bright and easy to useImproving on the design of the number one selling All Pupil indirect, the All Pupil II gives you ultimate illumination control and world class optics, wrapped up in a simple, but durable construction for eye care professionals that need an ophthalmoscope they can rely on. The Keeler All Pupil II is designed to provide ease of use combined with balanced comfort for regular use in a range of clinical applications through the binocular optical view used in conjunction w",Exceptional Keeler optics.: Exceptional Keeler optics.; Extra battery pack.: Extra battery pack.,Exceptional Keeler optics.: Exceptional Keeler optics.; Extra battery pack.: Extra battery pack.,https://www.keelerglobal.com/wp-content/uploads/2024/02/1204-P-3043-8-scaled.webp
2509-P-8027,KEELER,cryo-ii-collins-trichiasis-pencil-2509-p-8027,ophthalmology-surgical,active,,Cryo ii collins trichiasis pencil,Cryo II Collins trichiasis pencil,"Keeler’s flagship réutilisable sonde pour lash surgeriesthe keeler cryomatic mkii trichiasis pencil has been designed pour cryo destruction de lash follicles. features: fast freezing et defrostingserrated grooves sur the réutilisable sonde handle facilitate a better grip et rotation de the sonde. ultra reliable. positioning groove sur the handle helps the user to orientate the tip de the sonde while continuing to view the pathology. high quality, performance et precision. works avec the cryomatic mkii to insta","Keeler’s flagship reusable probe for lash surgeriesThe Keeler Cryomatic MKII trichiasis pencil has been designed for cryo destruction of lash follicles.Features:Fast freezing and defrostingSerrated grooves on the reusable probe handle facilitate a better grip and rotation of the probe.Ultra reliable.Positioning groove on the handle helps the user to orientate the tip of the probe while continuing to view the pathology.High quality, performance and precision.Works with the Cryomatic MKII to insta",Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 2.4mm.; Tip size: 4 x 10mm.; Ice-ball length: 2.5mm.; Tip extension length: 29.8mm.; Standard warranty: 2 years.; Cryo II extended: Cryo II extended retinal pencil2509-P-8021,Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 2.4mm.; Tip size: 4 x 10mm.; Ice-ball length: 2.5mm.; Tip extension length: 29.8mm.; Standard warranty: 2 years.; Cryo II extended: Cryo II extended retinal pencil2509-P-8021,https://www.keelerglobal.com/wp-content/uploads/2024/02/2509-P-8026-6-scaled.webp
2508-P-7015,KEELER,carro-criog-nico-2508-p-7015,ophthalmology-surgical,active,,Carro criogénico,Carro criogénico,"Soporte resistente para sus sistemas criogénicoskeeler cuenta con más de 40 años de experiencia en equipos criogénicos oftálmicos, por lo que entiende que su equipo necesita un soporte resistente. el carro criogénico incluye un estante con bordes exteriores elevados para ofrecer a su cryomatic de keeler un soporte seguro. características: superficie con recubrimiento en polvo a prueba de golpes y arañazosfácil de limpiar: resistente a soluciones desinfectantes y disolventes de limpieza. los bordes","Soporte resistente para sus sistemas criogénicosKeeler cuenta con más de 40 años de experiencia en equipos criogénicos oftálmicos, por lo que entiende que su equipo necesita un soporte resistente. El carro criogénico incluye un estante con bordes exteriores elevados para ofrecer a su Cryomatic de Keeler un soporte seguro.Características:Superficie con recubrimiento en polvo a prueba de golpes y arañazosFácil de limpiar: resistente a soluciones desinfectantes y disolventes de limpieza.Los bordes",Fácil de limpiar: resistente a soluciones desinfectantes y disolventes de limpieza.; Extremadamente resistente.: Extremadamente resistente.; KAT T: tonómetro de aplanación desmontable (Copy),Fácil de limpiar: resistente a soluciones desinfectantes y disolventes de limpieza.; Extremadamente resistente.: Extremadamente resistente.; KAT T: tonómetro de aplanación desmontable (Copy),https://www.keelerglobal.com/wp-content/uploads/2024/02/cryo-trolley-right-2-Edited-scaled.png
1204-P-3038,KEELER,all-pupil-ii-binocular-indirect-ophthalmoscope-120,ophthalmology-surgical,active,,All pupil ii binocular indirect ophthalmoscope,All Pupil II binocular indirect ophthalmoscope,"Léger(ère), bright et easy to useimproving sur the conception de the number one selling all pupil indirect, the all pupil ii gives you ultimate illumination control et world class optics, wrapped up dans a simple, but durable construction pour eye care professionals that need an ophthalmoscope they can rely sur. the keeler all pupil ii is designed to provide ease de use combined avec balanced comfort pour regular use dans a range de clinical applications à travers the binocular optical view used dans conjunction w","Light, bright and easy to useImproving on the design of the number one selling All Pupil indirect, the All Pupil II gives you ultimate illumination control and world class optics, wrapped up in a simple, but durable construction for eye care professionals that need an ophthalmoscope they can rely on. The Keeler All Pupil II is designed to provide ease of use combined with balanced comfort for regular use in a range of clinical applications through the binocular optical view used in conjunction w",Exceptional Keeler optics.: Exceptional Keeler optics.; Extra battery pack.: Extra battery pack.,Exceptional Keeler optics.: Exceptional Keeler optics.; Extra battery pack.: Extra battery pack.,https://www.keelerglobal.com/wp-content/uploads/2024/02/1204-P-3043-8-scaled.webp
2509-P-8028,KEELER,cryo-ii-collins-trichiasis-pencil-2509-p-8028,ophthalmology-surgical,active,,Cryo ii collins trichiasis pencil,Cryo II Collins trichiasis pencil,"Keeler’s flagship réutilisable sonde pour lash surgeriesthe keeler cryomatic mkii trichiasis pencil has been designed pour cryo destruction de lash follicles. features: fast freezing et defrostingserrated grooves sur the réutilisable sonde handle facilitate a better grip et rotation de the sonde. ultra reliable. positioning groove sur the handle helps the user to orientate the tip de the sonde while continuing to view the pathology. high quality, performance et precision. works avec the cryomatic mkii to insta","Keeler’s flagship reusable probe for lash surgeriesThe Keeler Cryomatic MKII trichiasis pencil has been designed for cryo destruction of lash follicles.Features:Fast freezing and defrostingSerrated grooves on the reusable probe handle facilitate a better grip and rotation of the probe.Ultra reliable.Positioning groove on the handle helps the user to orientate the tip of the probe while continuing to view the pathology.High quality, performance and precision.Works with the Cryomatic MKII to insta",Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 2.4mm.; Tip size: 4 x 10mm.; Ice-ball length: 2.5mm.; Tip extension length: 29.8mm.; Standard warranty: 2 years.; Cryo II extended: Cryo II extended retinal pencil2509-P-8021,Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 2.4mm.; Tip size: 4 x 10mm.; Ice-ball length: 2.5mm.; Tip extension length: 29.8mm.; Standard warranty: 2 years.; Cryo II extended: Cryo II extended retinal pencil2509-P-8021,https://www.keelerglobal.com/wp-content/uploads/2024/02/2509-P-8026-6-scaled.webp
2509-P-8007,KEELER,cryo-ii-standard-retinal-pencil-2509-p-8007,ophthalmology-surgical,active,,Cryo ii standard rétinien(ne) pencil,Cryo II standard retinal pencil,"Keeler’s flagship réutilisable probethe standard rétinien(ne) pencil includes a sonde tip that has been designed to gain optimal results pendant rétinien(ne) cryopexy. the sonde can treat pathologies such as rétinien(ne) tears, holes, treatment de retinopathy de prematurity (rop), pneumatic retinopexy et can be used pendant scléral(e) buckle procedures pour rétinien(ne) detachments. features: fast freezing et defrostingserrated grooves sur the réutilisable sonde handle facilitate a better grip et rotation de the sonde. ultra reli","Keeler’s flagship reusable probeThe Standard retinal pencil includes a probe tip that has been designed to gain optimal results during retinal cryopexy. The probe can treat pathologies such as retinal tears, holes, treatment of retinopathy of prematurity (ROP), pneumatic retinopexy and can be used during scleral buckle procedures for retinal detachments.Features:Fast freezing and defrostingSerrated grooves on the reusable probe handle facilitate a better grip and rotation of the probe.Ultra reli",Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 4mm.; Tip diameter: 8mm.; Tip angle: 45 degrees.; Tip extension length: 9mm.,Compatibility: Keeler Cryomatic MKII; Sterilisation process: Autoclavable.; Gas compatibility: Medical grade CO2 or N2O.; Total length: 4mm.; Tip diameter: 8mm.; Tip angle: 45 degrees.; Tip extension length: 9mm.,https://www.keelerglobal.com/wp-content/uploads/2024/02/2509-P-8020-6-scaled.webp
